"NC Code","Supplier","Brand Name","Age","Proof","Bottle Size","Retail Bottle Price","Mixed Beverage Price",
65-316,"McCormick","Pancho Villa Gold","","80",".75L","$11.85","$15.60",
65-319,"Hexa Partners","Don Ramon Reposado","004M","80",".75L","$36.95","$40.70",
65-321,"Brown - Forman","Pepe Lopez De Oro","","80","1.75L","$29.95","$38.70",
65-323,"Brown - Forman","Pepe Lopez De Oro","","80",".75L","$17.95","$21.70",
65-345,"Trinchero Family Estates","Tres Agaves Reposado","","80",".75L","$34.95","$38.70",
65-349,"Heaven Hill","Two Fingers Gold","","80","1.75L","$26.95","$35.70",
65-351,"Heaven Hill","Two Fingers Gold","","80",".75L","$15.50","$19.25",
65-354,"Campari America","Cabo Wabo Anejo","001Y","80",".75L","$45.95","$49.70",
65-359,"Campari America","Cabo Wabo Reposado","001Y","80",".75L","$40.95","$44.70",
65-362,"Infinium Spirits","Corralejo Reposado","","80",".75L","$29.95","$33.70",
65-363,"Infinium Spirits","Corralejo Reposado","","80","1.75L","$49.95","$58.70",
65-365,"Casamigos Spirits","Casamigos Reposado Tequila","","80",".75L","$52.95","$56.70",
65-367,"Casamigos Spirits","Casamigos Anejo","","80",".75L","$59.95","$63.70",
65-369,"Casamigos Spirits","Casamigos Anejo","","80",".375L","$26.95","$28.83",
65-370,"Bacardi","Cazadores Reposado","","80","1.75L","$39.95","$48.70",
65-371,"Bacardi","Cazadores Reposado","","80",".75L","$28.95","$32.70",
65-372,"Bacardi","Cazadores Reposado","","80",".375L","$9.95","$11.83",
65-373,"Casamigos Spirits","Casamigos Reposado","","80",".375L","$24.95","$26.83",
65-375,"Bacardi","Cazadores Anejo","","80",".75L","$34.95","$38.70",
65-378,"Brown - Forman","Herradura Anejo","","80",".75L","$49.95","$53.70",
65-381,"Infinium Spirits","Corralejo Anejo Tequila Red Bottle","","80",".75L","$34.95","$38.70",
65-383,"Hexa Partners","Mi Cosecha Gold","","80","1.75L","$24.20","$32.95",
65-386,"Hexa Partners","D'ego Gold","002M","80","1.75L","$22.20","$30.95",
65-387,"Hexa Partners","D'ego Gold","002M","80",".75L","$11.25","$15.00",
65-392,"Brown - Forman","Herradura Reposado","","80",".75L","$46.95","$50.70",
65-404,"Heaven Hill","Aristocrat Supreme Teq Gold","","80","1.75L","$22.95","$31.70",
65-405,"Heaven Hill","Aristocrat Supreme Teq Gold","","80",".75L","$9.45","$13.20",
65-411,"Sazerac Co.","Corazon Reposado De Agave","","80",".75L","$24.95","$28.70",
65-418,"Heaven Hill","Lunazul Reposado","","80","1.75L","$34.95","$43.70",
65-419,"Heaven Hill","Lunazul Reposado","","80",".75L","$18.95","$22.70",
65-420,"Heaven Hill","Lunazul Reposado","","80",".375L","$8.95","$10.83",
65-457,"Heaven Hill","Lunazul Primero Tequila","","80",".75L","$29.95","$33.70",
65-459,"Heaven Hill","Lunazul Anejo","","80",".75L","$22.95","$26.70",
65-472,"Pernod Ricard","Avion Reserva 44","044M","80",".75L","$149.95","$153.70",
65-473,"Pernod Ricard","Avion Anejo","","80",".75L","$49.95","$53.70",
65-474,"Pernod Ricard","Avion Reposado","","80",".75L","$44.95","$48.70",
65-479,"Diageo NA","DeLeon Reposado","","80",".75L","$42.95","$46.70",
65-480,"Campari America","Espolon Reposado","001Y","80",".75L","$27.95","$31.70",
65-481,"Campari America","Espolon Reposado","006M","80","1.75L","$50.95","$59.70",
65-483,"Campari America","Espolon Anejo","001Y","80",".75L","$35.95","$39.70",
65-537,"E & J Gallo Winery","Familia Camarena Reposado","","80","1.75L","$39.95","$48.70",
65-538,"E & J Gallo Winery","Familia Camarena Reposado","","80",".75L","$21.95","$25.70",
65-546,"Proximo Spirits","Gran Centenario Reposado","010M","80",".75L","$29.95","$33.70",
65-584,"Proximo Spirits","Maestro Dobel Diamante","","80",".75L","$49.95","$53.70",
65-585,"Proximo Spirits","Maestro Dobel Tequila","","80",".375L","$15.95","$17.83",
65-613,"Bacardi","Corzo Reposado","","80",".75L","$34.95","$38.70",
65-616,"Sans Wine & Spirits","Coa De Jima Reposado","007M","80",".75L","$21.95","$25.70",
